STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5906;1979010100:28;    1;   -999;    0.0;    0.0;   0;   152.90;1979010101:00;eor
       5906;1979010101:28;    1;   -999;    0.0;    0.0;   0;   148.20;1979010102:00;eor
       5906;1979010102:28;    1;   -999;    0.0;    0.0;   0;   140.52;1979010103:00;eor
       5906;1979010103:29;    1;   -999;    0.0;    0.0;   0;   131.42;1979010104:00;eor
       5906;1979010104:29;    1;   -999;    0.0;    0.0;   0;   121.77;1979010105:00;eor
       5906;1979010105:29;    1;   -999;    0.0;    0.0;   0;   112.07;1979010106:00;eor
       5906;1979010106:29;    1;   -999;    0.0;    0.0;   0;   102.69;1979010107:00;eor
       5906;1979010107:29;    1;   -999;    0.0;    0.0;   0;    93.96;1979010108:00;eor
       5906;1979010108:29;    1;   -999;   -999;    7.0;   0;    86.21;1979010109:00;eor
       5906;1979010109:29;    1;   -999;   -999;   32.0;   0;    79.84;1979010110:00;eor
       5906;1979010110:29;    1;   -999;   -999;   63.0;  24;    75.26;1979010111:00;eor
       5906;1979010111:29;    1;   -999;   -999;   65.0;  24;    72.85;1979010112:00;eor
       5906;1979010112:29;    1;   -999;   -999;   91.0;  60;    72.84;1979010113:00;eor
       5906;1979010113:29;    1;   -999;   -999;   65.0;  48;    75.25;1979010114:00;eor
       5906;1979010114:29;    1;   -999;   -999;   39.0;   6;    79.82;1979010115:00;eor
       5906;1979010115:29;    1;   -999;   -999;   11.0;   0;    86.19;1979010116:00;eor
       5906;1979010116:29;    1;   -999;    0.0;    0.0;   0;    93.93;1979010117:00;eor
       5906;1979010117:29;    1;   -999;    0.0;    0.0;   0;   102.67;1979010118:00;eor
       5906;1979010118:29;    1;   -999;    0.0;    0.0;   0;   112.04;1979010119:00;eor
       5906;1979010119:29;    1;   -999;    0.0;    0.0;   0;   121.73;1979010120:00;eor
       5906;1979010120:29;    1;   -999;    0.0;    0.0;   0;   131.38;1979010121:00;eor
