STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
       5906;19790101;    1;     -999;     -999;   373.00;    2.7;eor
       5906;19790102;    1;     -999;     -999;   464.00;    4.1;eor
       5906;19790103;    1;     -999;     -999;   320.00;    0.7;eor
       5906;19790104;    1;     -999;     -999;   460.00;    4.0;eor
       5906;19790105;    1;     -999;     -999;   514.00;    6.7;eor
       5906;19790106;    1;     -999;     -999;   480.00;    5.1;eor
       5906;19790107;    1;     -999;     -999;   397.00;    2.9;eor
       5906;19790108;    1;     -999;     -999;   331.00;    1.3;eor
       5906;19790109;    1;     -999;     -999;   110.00;    0.0;eor
       5906;19790110;    1;     -999;     -999;   487.00;    4.4;eor
       5906;19790111;    1;     -999;     -999;   228.00;    0.4;eor
       5906;19790112;    1;     -999;     -999;   259.00;    0.4;eor
       5906;19790113;    1;     -999;     -999;   396.00;    2.8;eor
       5906;19790114;    1;     -999;     -999;   404.00;    2.8;eor
       5906;19790115;    1;     -999;     -999;   382.00;    0.1;eor
       5906;19790116;    1;     -999;     -999;   349.00;    0.5;eor
       5906;19790117;    1;     -999;     -999;   296.00;    0.0;eor
       5906;19790118;    1;     -999;     -999;   466.00;    2.2;eor
       5906;19790119;    1;     -999;     -999;   547.00;    7.0;eor
       5906;19790120;    1;     -999;     -999;   199.00;    0.0;eor
       5906;19790121;    1;     -999;     -999;   103.00;    0.0;eor
       5906;19790122;    1;     -999;     -999;   296.00;    0.0;eor
       5906;19790123;    1;     -999;     -999;    88.00;    0.0;eor
       5906;19790124;    1;     -999;     -999;   200.00;    0.1;eor
       5906;19790125;    1;     -999;     -999;   620.00;    6.8;eor
       5906;19790126;    1;     -999;     -999;     -999;    1.1;eor
       5906;19790127;    1;     -999;     -999;   195.00;    0.0;eor
       5906;19790128;    1;     -999;     -999;   192.00;    0.0;eor
       5906;19790129;    1;     -999;     -999;   257.00;    0.8;eor
       5906;19790130;    1;     -999;     -999;   307.00;    0.5;eor
       5906;19790131;    1;     -999;     -999;   293.00;    1.2;eor
       5906;19790201;    1;     -999;   355.00;   499.00;    2.1;eor
       5906;19790202;    1;     -999;    55.00;    55.00;    0.0;eor
       5906;19790203;    1;     -999;   343.00;   343.00;    0.0;eor
       5906;19790204;    1;     -999;   395.00;   403.00;    0.3;eor
       5906;19790205;    1;     -999;   156.00;   156.00;    0.0;eor
       5906;19790206;    1;     -999;   345.00;   445.00;    2.6;eor
       5906;19790207;    1;     -999;   111.00;   111.00;    0.0;eor
       5906;19790208;    1;     -999;   285.00;   509.00;    3.6;eor
       5906;19790209;    1;     -999;   169.00;   169.00;    0.0;eor
       5906;19790210;    1;     -999;   274.00;   274.00;    0.0;eor
       5906;19790211;    1;     -999;   220.00;   220.00;    0.0;eor
       5906;19790212;    1;     -999;   292.00;   319.00;    0.5;eor
       5906;19790213;    1;     -999;   315.00;   436.00;    2.2;eor
       5906;19790214;    1;     -999;   262.00;   272.00;    0.3;eor
       5906;19790215;    1;     -999;   381.00;   444.00;    1.0;eor
       5906;19790216;    1;     -999;   167.00;   167.00;    0.0;eor
       5906;19790217;    1;     -999;   152.00;   152.00;    0.0;eor
       5906;19790218;    1;     -999;   126.00;   126.00;    0.0;eor
       5906;19790219;    1;     -999;   220.00;   220.00;    0.0;eor
       5906;19790220;    1;     -999;   513.00;   649.00;    2.3;eor
       5906;19790221;    1;     -999;   528.00;   805.00;    3.8;eor
       5906;19790222;    1;     -999;   186.00;   186.00;    0.0;eor
       5906;19790223;    1;     -999;   319.00;   361.00;    1.1;eor
       5906;19790224;    1;     -999;   543.00;   630.00;    1.4;eor
       5906;19790225;    1;     -999;   527.00;  1047.00;    8.0;eor
       5906;19790226;    1;     -999;   416.00;  1054.00;    8.1;eor
       5906;19790227;    1;     -999;   407.00;  1094.00;    7.7;eor
       5906;19790228;    1;     -999;   293.00;  1207.00;    9.3;eor
       5906;19790301;    1;     -999;   484.00;   932.00;    6.8;eor
       5906;19790302;    1;     -999;   605.00;   965.00;    3.8;eor
       5906;19790303;    1;     -999;   415.00;   423.00;    0.1;eor
       5906;19790304;    1;     -999;   151.00;   151.00;    0.0;eor
       5906;19790305;    1;     -999;   377.00;   377.00;    0.0;eor
       5906;19790306;    1;     -999;   480.00;   483.00;    0.3;eor
       5906;19790307;    1;     -999;   650.00;   979.00;    3.8;eor
       5906;19790308;    1;     -999;   594.00;   943.00;    6.0;eor
       5906;19790309;    1;     -999;   469.00;   469.00;    0.0;eor
       5906;19790310;    1;     -999;   693.00;  1035.00;    4.7;eor
       5906;19790311;    1;     -999;   103.00;   103.00;    0.0;eor
       5906;19790312;    1;     -999;   427.00;  1223.00;    7.3;eor
       5906;19790313;    1;     -999;   261.00;   269.00;    0.2;eor
       5906;19790314;    1;     -999;   401.00;   455.00;    0.5;eor
       5906;19790315;    1;     -999;   695.00;  1041.00;    3.8;eor
       5906;19790316;    1;     -999;   280.00;   280.00;    0.0;eor
       5906;19790317;    1;     -999;   605.00;  1018.00;    5.3;eor
       5906;19790318;    1;     -999;   757.00;   918.00;    1.9;eor
       5906;19790319;    1;     -999;   646.00;   807.00;    1.8;eor
       5906;19790320;    1;     -999;   611.00;   670.00;    1.0;eor
       5906;19790321;    1;     -999;   584.00;   960.00;    4.3;eor
       5906;19790322;    1;     -999;   515.00;  1628.00;    9.8;eor
       5906;19790323;    1;     -999;   385.00;  1563.00;    9.9;eor
       5906;19790324;    1;     -999;   302.00;  1807.00;   11.3;eor
       5906;19790325;    1;     -999;   427.00;   427.00;    0.0;eor
       5906;19790326;    1;     -999;   467.00;   547.00;    1.5;eor
       5906;19790327;    1;     -999;   716.00;   796.00;    0.7;eor
       5906;19790328;    1;     -999;   539.00;   641.00;    1.2;eor
       5906;19790329;    1;     -999;   766.00;   884.00;    1.7;eor
       5906;19790330;    1;     -999;   245.00;   245.00;    0.0;eor
       5906;19790331;    1;     -999;   382.00;   382.00;    0.0;eor
       5906;19790401;    1;     -999;   253.00;   253.00;    0.0;eor
       5906;19790402;    1;     -999;   534.00;   668.00;    1.7;eor
       5906;19790403;    1;     -999;   544.00;  1079.00;    4.9;eor
       5906;19790404;    1;     -999;   807.00;  1168.00;    3.8;eor
       5906;19790405;    1;     -999;   783.00;  1031.00;    4.0;eor
       5906;19790406;    1;     -999;   950.00;  1539.00;    7.1;eor
       5906;19790407;    1;     -999;   823.00;   992.00;    2.2;eor
       5906;19790408;    1;     -999;   880.00;  1197.00;    3.5;eor
       5906;19790409;    1;     -999;   687.00;  1967.00;   10.8;eor
       5906;19790410;    1;     -999;   733.00;  1957.00;   10.8;eor
       5906;19790411;    1;     -999;   754.00;  1592.00;    7.3;eor
       5906;19790412;    1;     -999;   830.00;  1192.00;    4.7;eor
       5906;19790413;    1;     -999;   633.00;  2094.00;   11.3;eor
       5906;19790414;    1;     -999;   965.00;  1744.00;   10.3;eor
       5906;19790415;    1;     -999;   953.00;  1559.00;    7.8;eor
       5906;19790416;    1;     -999;   444.00;   496.00;    0.7;eor
       5906;19790417;    1;     -999;   459.00;   459.00;    0.0;eor
       5906;19790418;    1;     -999;   917.00;  1177.00;    2.9;eor
       5906;19790419;    1;     -999;   823.00;  2121.00;   11.2;eor
       5906;19790420;    1;     -999;   907.00;  1392.00;    6.0;eor
       5906;19790421;    1;     -999;   756.00;   874.00;    1.9;eor
       5906;19790422;    1;     -999;   767.00;   887.00;    2.2;eor
       5906;19790423;    1;     -999;   519.00;   519.00;    0.0;eor
       5906;19790424;    1;     -999;   771.00;  1066.00;    4.0;eor
       5906;19790425;    1;     -999;   797.00;   998.00;    3.4;eor
       5906;19790426;    1;     -999;   931.00;  1354.00;    4.2;eor
       5906;19790427;    1;     -999;   910.00;  1134.00;    3.3;eor
       5906;19790428;    1;     -999;  1087.00;  1429.00;    4.2;eor
       5906;19790429;    1;     -999;   991.00;  1390.00;    4.6;eor
       5906;19790430;    1;     -999;   284.00;   284.00;    0.0;eor
       5906;19790501;    1;     -999;  1199.00;  1671.00;    4.9;eor
       5906;19790502;    1;     -999;   871.00;  1393.00;    5.5;eor
       5906;19790503;    1;     -999;   735.00;  1206.00;    4.2;eor
       5906;19790504;    1;     -999;   805.00;  1341.00;    4.8;eor
       5906;19790505;    1;     -999;   958.00;  1224.00;    2.6;eor
       5906;19790506;    1;     -999;   918.00;  1721.00;    8.2;eor
       5906;19790507;    1;     -999;   612.00;  2609.00;   13.9;eor
       5906;19790508;    1;     -999;   536.00;  2649.00;   14.0;eor
       5906;19790509;    1;     -999;   860.00;  2448.00;   12.8;eor
       5906;19790510;    1;     -999;  1069.00;  2234.00;    9.0;eor
       5906;19790511;    1;     -999;   610.00;   610.00;    0.0;eor
       5906;19790512;    1;     -999;  1018.00;  2106.00;   10.8;eor
       5906;19790513;    1;     -999;  1296.00;  2264.00;    8.9;eor
       5906;19790514;    1;     -999;   752.00;  2608.00;   13.8;eor
       5906;19790515;    1;     -999;   711.00;  2563.00;   13.9;eor
       5906;19790516;    1;     -999;   769.00;  2543.00;   13.7;eor
       5906;19790517;    1;     -999;   554.00;   581.00;    0.2;eor
       5906;19790518;    1;     -999;   469.00;   500.00;    0.3;eor
       5906;19790519;    1;     -999;  1226.00;  1974.00;    6.5;eor
       5906;19790520;    1;     -999;  1262.00;  1370.00;    0.8;eor
       5906;19790521;    1;     -999;   657.00;  2741.00;   13.4;eor
