STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor;;;;;
5906;19790101;1;-999;-999;373;02. Jul;eor;373;1;643;;1036,111111
5906;19790102;1;-999;-999;464;04. Jan;eor;464;1;552;;
5906;19790103;1;-999;-999;320;0.7;eor;320;1;696;;
5906;19790104;1;-999;-999;460;4;eor;460;1;556;;
5906;19790105;1;-999;-999;514;06. Jul;eor;514;1;502;;
5906;19790106;1;-999;-999;480;05. Jan;eor;480;1;536;;
5906;19790107;1;-999;-999;397;02. Sep;eor;397;1;619;;
5906;19790108;1;-999;-999;331;01. Mrz;eor;331;1;685;;
5906;19790109;1;-999;-999;110;0;eor;110;1;906;;
5906;19790110;1;-999;-999;487;04. Apr;eor;487;1;529;;
5906;19790111;1;-999;-999;228;0.4;eor;228;1;788;;
5906;19790112;1;-999;-999;259;0.4;eor;259;1;757;;
5906;19790113;1;-999;-999;396;02. Aug;eor;396;1;620;;
5906;19790114;1;-999;-999;404;02. Aug;eor;404;1;612;;
5906;19790115;1;-999;-999;382;0.1;eor;382;1;634;;
5906;19790116;1;-999;-999;349;0.5;eor;349;1;667;;
5906;19790117;1;-999;-999;296;0;eor;296;1;720;;
5906;19790118;1;-999;-999;466;02. Feb;eor;466;1;550;;
5906;19790119;1;-999;-999;547;7;eor;547;1;469;;
5906;19790120;1;-999;-999;199;0;eor;199;1;817;;
5906;19790121;1;-999;-999;103;0;eor;103;1;913;;
5906;19790122;1;-999;-999;296;0;eor;296;1;720;;
5906;19790123;1;-999;-999;88;0;eor;88;1;928;;
5906;19790124;1;-999;-999;200;0.1;eor;200;1;816;;
5906;19790125;1;-999;-999;620;06. Aug;eor;620;1;396;;
5906;19790126;1;-999;-999;-999;01. Jan;eor;0;0;2015;;
5906;19790127;1;-999;-999;195;0;eor;195;1;821;;
5906;19790128;1;-999;-999;192;0;eor;192;1;824;;
5906;19790129;1;-999;-999;257;0.8;eor;257;1;759;;
5906;19790130;1;-999;-999;307;0.5;eor;307;1;709;;
5906;19790131;1;-999;-999;293;01. Feb;eor;293;1;723;;
5906;19790201;1;-999;355;499;02. Jan;eor;499;1;517;;
5906;19790202;1;-999;55;55;0;eor;55;1;961;;
5906;19790203;1;-999;343;343;0;eor;343;1;673;;
5906;19790204;1;-999;395;403;0.3;eor;403;1;613;;
5906;19790205;1;-999;156;156;0;eor;156;1;860;;
5906;19790206;1;-999;345;445;02. Jun;eor;445;1;571;;
5906;19790207;1;-999;111;111;0;eor;111;1;905;;
5906;19790208;1;-999;285;509;03. Jun;eor;509;1;507;;
5906;19790209;1;-999;169;169;0;eor;169;1;847;;
5906;19790210;1;-999;274;274;0;eor;274;1;742;;
5906;19790211;1;-999;220;220;0;eor;220;1;796;;
5906;19790212;1;-999;292;319;0.5;eor;319;1;697;;
5906;19790213;1;-999;315;436;02. Feb;eor;436;1;580;;
5906;19790214;1;-999;262;272;0.3;eor;272;1;744;;
5906;19790215;1;-999;381;444;1;eor;444;1;572;;
5906;19790216;1;-999;167;167;0;eor;167;1;849;;
5906;19790217;1;-999;152;152;0;eor;152;1;864;;
5906;19790218;1;-999;126;126;0;eor;126;1;890;;
5906;19790219;1;-999;220;220;0;eor;220;1;796;;
5906;19790220;1;-999;513;649;02. Mrz;eor;649;1;367;;
5906;19790221;1;-999;528;805;03. Aug;eor;805;1;211;;
5906;19790222;1;-999;186;186;0;eor;186;1;830;;
5906;19790223;1;-999;319;361;01. Jan;eor;361;1;655;;
5906;19790224;1;-999;543;630;01. Apr;eor;630;1;386;;
5906;19790225;1;-999;527;1047;8;eor;1047;1;31;;
5906;19790226;1;-999;416;1054;08. Jan;eor;1054;1;38;;
5906;19790227;1;-999;407;1094;07. Jul;eor;1094;1;78;;
5906;19790228;1;-999;293;1207;09. Mrz;eor;1207;1;191;;
5906;19790301;1;-999;484;932;06. Aug;eor;932;1;84;;
5906;19790302;1;-999;605;965;03. Aug;eor;965;1;51;;
5906;19790303;1;-999;415;423;0.1;eor;423;1;593;;
5906;19790304;1;-999;151;151;0;eor;151;1;865;;
5906;19790305;1;-999;377;377;0;eor;377;1;639;;
5906;19790306;1;-999;480;483;0.3;eor;483;1;533;;
5906;19790307;1;-999;650;979;03. Aug;eor;979;1;37;;
5906;19790308;1;-999;594;943;6;eor;943;1;73;;
5906;19790309;1;-999;469;469;0;eor;469;1;547;;
5906;19790310;1;-999;693;1035;04. Jul;eor;1035;1;19;;
5906;19790311;1;-999;103;103;0;eor;103;1;913;;
5906;19790312;1;-999;427;1223;07. Mrz;eor;1223;1;207;;
5906;19790313;1;-999;261;269;0.2;eor;269;1;747;;
5906;19790314;1;-999;401;455;0.5;eor;455;1;561;;
5906;19790315;1;-999;695;1041;03. Aug;eor;1041;1;25;;
5906;19790316;1;-999;280;280;0;eor;280;1;736;;
5906;19790317;1;-999;605;1018;05. Mrz;eor;1018;1;2;;
5906;19790318;1;-999;757;918;01. Sep;eor;918;1;98;;
5906;19790319;1;-999;646;807;01. Aug;eor;807;1;209;;
5906;19790320;1;-999;611;670;1;eor;670;1;346;;
5906;19790321;1;-999;584;960;04. Mrz;eor;960;1;56;;
5906;19790322;1;-999;515;1628;09. Aug;eor;1628;1;612;;
5906;19790323;1;-999;385;1563;09. Sep;eor;1563;1;547;;
5906;19790324;1;-999;302;1807;11. Mrz;eor;1807;1;791;;
5906;19790325;1;-999;427;427;0;eor;427;1;589;;
5906;19790326;1;-999;467;547;01. Mai;eor;547;1;469;;
5906;19790327;1;-999;716;796;0.7;eor;796;1;220;;
5906;19790328;1;-999;539;641;01. Feb;eor;641;1;375;;
5906;19790329;1;-999;766;884;01. Jul;eor;884;1;132;;
5906;19790330;1;-999;245;245;0;eor;245;1;771;;
5906;19790331;1;-999;382;382;0;eor;382;1;634;;
5906;19790401;1;-999;253;253;0;eor;253;1;763;;
5906;19790402;1;-999;534;668;01. Jul;eor;668;1;348;;
5906;19790403;1;-999;544;1079;04. Sep;eor;1079;1;63;;
5906;19790404;1;-999;807;1168;03. Aug;eor;1168;1;152;;
5906;19790405;1;-999;783;1031;4;eor;1031;1;15;;
5906;19790406;1;-999;950;1539;07. Jan;eor;1539;1;523;;
5906;19790407;1;-999;823;992;02. Feb;eor;992;1;24;;
5906;19790408;1;-999;880;1197;03. Mai;eor;1197;1;181;;
5906;19790409;1;-999;687;1967;10. Aug;eor;1967;1;951;;
5906;19790410;1;-999;733;1957;10. Aug;eor;1957;1;941;;
5906;19790411;1;-999;754;1592;07. Mrz;eor;1592;1;576;;
5906;19790412;1;-999;830;1192;04. Jul;eor;1192;1;176;;
5906;19790413;1;-999;633;2094;11. Mrz;eor;2094;1;1078;;
5906;19790414;1;-999;965;1744;10. Mrz;eor;1744;1;728;;
5906;19790415;1;-999;953;1559;07. Aug;eor;1559;1;543;;
5906;19790416;1;-999;444;496;0.7;eor;496;1;520;;
5906;19790417;1;-999;459;459;0;eor;459;1;557;;
5906;19790418;1;-999;917;1177;02. Sep;eor;1177;1;161;;
5906;19790419;1;-999;823;2121;11. Feb;eor;2121;1;1105;;
5906;19790420;1;-999;907;1392;6;eor;1392;1;376;;
5906;19790421;1;-999;756;874;01. Sep;eor;874;1;142;;
5906;19790422;1;-999;767;887;02. Feb;eor;887;1;129;;
5906;19790423;1;-999;519;519;0;eor;519;1;497;;
5906;19790424;1;-999;771;1066;4;eor;1066;1;50;;
5906;19790425;1;-999;797;998;03. Apr;eor;998;1;18;;
5906;19790426;1;-999;931;1354;04. Feb;eor;1354;1;338;;
5906;19790427;1;-999;910;1134;03. Mrz;eor;1134;1;118;;
5906;19790428;1;-999;1087;1429;04. Feb;eor;1429;1;413;;
5906;19790429;1;-999;991;1390;04. Jun;eor;1390;1;374;;
5906;19790430;1;-999;284;284;0;eor;284;1;732;;
5906;19790501;1;-999;1199;1671;04. Sep;eor;1671;1;655;;
5906;19790502;1;-999;871;1393;05. Mai;eor;1393;1;377;;
5906;19790503;1;-999;735;1206;04. Feb;eor;1206;1;190;;
5906;19790504;1;-999;805;1341;04. Aug;eor;1341;1;325;;
5906;19790505;1;-999;958;1224;02. Jun;eor;1224;1;208;;
5906;19790506;1;-999;918;1721;08. Feb;eor;1721;1;705;;
5906;19790507;1;-999;612;2609;13. Sep;eor;2609;1;1593;;
5906;19790508;1;-999;536;2649;14;eor;2649;1;1633;;
5906;19790509;1;-999;860;2448;12. Aug;eor;2448;1;1432;;
5906;19790510;1;-999;1069;2234;9;eor;2234;1;1218;;
5906;19790511;1;-999;610;610;0;eor;610;1;406;;
5906;19790512;1;-999;1018;2106;10. Aug;eor;2106;1;1090;;
5906;19790513;1;-999;1296;2264;08. Sep;eor;2264;1;1248;;
5906;19790514;1;-999;752;2608;13. Aug;eor;2608;1;1592;;
5906;19790515;1;-999;711;2563;13. Sep;eor;2563;1;1547;;
5906;19790516;1;-999;769;2543;13. Jul;eor;2543;1;1527;;
5906;19790517;1;-999;554;581;0.2;eor;581;1;435;;
5906;19790518;1;-999;469;500;0.3;eor;500;1;516;;
5906;19790519;1;-999;1226;1974;06. Mai;eor;1974;1;958;;
5906;19790520;1;-999;1262;1370;0.8;eor;1370;1;354;;
5906;19790521;1;-999;657;2741;13. Apr;eor;2741;1;1725;;
5906;19790522;1;-999;876;1306;04. Aug;eor;1306;1;290;;
5906;19790523;1;-999;725;2473;11. Jul;eor;2473;1;1457;;
5906;19790524;1;-999;659;699;01. Apr;eor;699;1;317;;
5906;19790525;1;-999;956;2164;09. Jul;eor;2164;1;1148;;
5906;19790526;1;-999;1008;2209;07. Feb;eor;2209;1;1193;;
5906;19790527;1;-999;593;602;0.1;eor;602;1;414;;
5906;19790528;1;-999;735;2836;14. Apr;eor;2836;1;1820;;
5906;19790529;1;-999;751;2658;13. Aug;eor;2658;1;1642;;
5906;19790530;1;-999;789;2481;12. Sep;eor;2481;1;1465;;
5906;19790531;1;-999;754;2535;13. Apr;eor;2535;1;1519;;
5906;19790601;1;-999;1426;1724;4;eor;1724;1;708;;
5906;19790602;1;-999;912;2484;11. Mai;eor;2484;1;1468;;
