Comment;cps.id;Mode;W;Wmax;t_start;t_end
.info;.id;.mode;.w0;.wmax;.t0;.tT
{1}(n,1);{1}(n,2);{1}(n,3);{2}(n,1);{2}(n,2);{2}(n,3);{2}(n,4)
BMW i3;LP1;SofoL;6;60;0;300
Renault Zoe Z.E.40;LP1;SofoL;4.8;48;400;1000
Renault Zoe Z.E.40;LP2;SofoL;4.8;48;100;400
Electro Smart;LP3;KontL;3.6;36;100;800
ZeroDS;LP4;SofoL;1;12;200;500
Vectrix;LP5;SofoL;0.5;3;1400;2400
Wirsol Polaris ;LP6;FlexL;0.3;1.5;0;400
Wirsol Polaris ;LP7;FlexL;0.3;1.5;100;500
Wirsol Polaris ;LP8;KontL;0.3;1.5;0;400
Wirsol Polaris ;LP9;KontL;0.3;1.5;100;500
Wirsol Polaris ;LP10;SofoL;0.3;1.5;300;500
Pufferbatterie;PB;PB;1.71;3.42;0;2400
PV 20,145 kWp;PV;PV;0;0;0;2400
